-1.5	1.3831092323444568e-07
-1.3889	1.7352120539365654e-07
-1.2778	2.131564832942163e-07
-1.1667	2.7699417743195234e-07
-1.0556	3.4894758523869683e-07
-0.9444	4.474317049126395e-07
-0.8333	5.962802653081303e-07
-0.7222	8.417546984592523e-07
-0.6111	1.1631403808267337e-06
-0.5	1.482470187147145e-06
-0.48	1.4944592572453075e-06
-0.46	1.631776677724631e-06
-0.44	1.7922114993135602e-06
-0.42	1.8669237907054113e-06
-0.4	1.8814903046923866e-06
-0.38	2.0126480386483796e-06
-0.36	2.0396294860810182e-06
-0.34	2.148325302809334e-06
-0.32	2.3309493753171593e-06
-0.3	2.539407793635063e-06
-0.28	2.9981100523033955e-06
-0.26	4.857380641942557e-06
-0.24	6.026146297364362e-06
-0.22	6.596447662396527e-06
-0.2	7.59225705942623e-06
-0.18	1.041072118822221e-05
-0.16	1.4594953146516517e-05
-0.14	4.1860805960905656e-05
-0.12	7.063937648528301e-05
-0.1	0.00010773835713154342
-0.08	0.00015167632824098987
-0.06	0.00030638331441367963
-0.04	0.0005611817129620713
-0.02	0.001005695261228221
0.0	0.005176606176852914
0.02	0.012220311742221239
0.04	0.00230930745999421
0.06	0.0008309239508467044
0.08	0.00027042975369414576
0.1	0.00016776112541887087
0.12	0.00010430085150219569
0.14	8.01555067271715e-05
0.16	4.372203238085906e-05
0.18	1.682378491784657e-05
0.2	1.1359925829708997e-05
0.22	8.448367647161657e-06
0.24	7.5719465023284605e-06
0.26	6.320788061087967e-06
0.28	6.335242667726574e-06
0.3	4.8689678607445515e-06
0.32	2.696109135789534e-06
0.34	2.59239447227742e-06
0.36	2.223800280761298e-06
0.38	2.251127688202202e-06
0.4	2.0125347821700435e-06
0.42	1.8545257426310472e-06
0.44	1.8328425985309058e-06
0.46	1.669270815907192e-06
0.48	1.5858234909574448e-06
0.5	1.584880142773492e-06
0.6111	1.1979557941648258e-06
0.7222	8.577821419052238e-07
0.8333	6.665102766409514e-07
0.9444	4.664116727046118e-07
1.0556	3.771576488996174e-07
1.1667	2.748389864836393e-07
1.2778	2.2990476252087728e-07
1.3889	1.9131180319827349e-07
1.5	1.4493065776841256e-07
