# dados normalizados utilizados na simulação usando 2ondas 
# dt = 0.0001	 strobe = 1	 tfinal = 1000 
#i	A	w	Kx	Ky	kycent	v	 v_rel	phase
0	1	3	18.849	3	3	1	0	0
1	0.3	6	6	3	3	2	1	0
