#while0.000000 	 0.050000 	 0.050000 
1.340000 	 -1.662717 	 2.059996 
1.350000 	 -1.690642 	 2.050533 
1.360000 	 -1.717645 	 2.040189 
1.370000 	 -1.743607 	 2.028948 
1.380000 	 -1.768442 	 2.016790 
1.390000 	 -1.792095 	 2.003694 
1.400000 	 -1.814542 	 1.989636 
1.410000 	 -1.835780 	 1.974589 
1.420000 	 -1.855832 	 1.958529 
1.430000 	 -1.874735 	 1.941429 
1.440000 	 -1.892537 	 1.923266 
1.450000 	 -1.909298 	 1.904019 
1.460000 	 -1.925083 	 1.883674 
1.470000 	 -1.939961 	 1.862224 
1.480000 	 -1.954000 	 1.839673 
1.490000 	 -1.967271 	 1.816036 
1.500000 	 -1.979841 	 1.791345 
1.510000 	 -1.991776 	 1.765647 
1.520000 	 -2.003137 	 1.739009 
1.530000 	 -2.013985 	 1.711516 
1.540000 	 -2.024375 	 1.683277 
1.550000 	 -2.034358 	 1.654414 
1.560000 	 -2.043985 	 1.625072 
1.570000 	 -2.053302 	 1.595405 
1.580000 	 -2.062353 	 1.565579 
1.590000 	 -2.071181 	 1.535766 
1.600000 	 -2.079828 	 1.506134 
1.610000 	 -2.088335 	 1.476848 
1.620000 	 -2.096743 	 1.448063 
1.630000 	 -2.105095 	 1.419917 
1.640000 	 -2.113433 	 1.392531 
1.650000 	 -2.121803 	 1.366009 
1.660000 	 -2.130252 	 1.340430 
1.670000 	 -2.138831 	 1.315856 
1.680000 	 -2.147592 	 1.292328 
1.690000 	 -2.156592 	 1.269871 
1.700000 	 -2.165890 	 1.248492 
1.710000 	 -2.175549 	 1.228186 
1.720000 	 -2.185637 	 1.208936 
1.730000 	 -2.196225 	 1.190719 
1.740000 	 -2.207386 	 1.173502 
1.750000 	 -2.219199 	 1.157249 
1.760000 	 -2.231744 	 1.141920 
1.770000 	 -2.245104 	 1.127475 
1.780000 	 -2.259365 	 1.113873 
1.790000 	 -2.274612 	 1.101073 
1.800000 	 -2.290926 	 1.089035 
1.810000 	 -2.308388 	 1.077723 
1.820000 	 -2.327070 	 1.067103 
1.830000 	 -2.347034 	 1.057143 
1.840000 	 -2.368328 	 1.047813 
1.850000 	 -2.390981 	 1.039090 
1.860000 	 -2.414995 	 1.030951 
1.870000 	 -2.440346 	 1.023376 
1.880000 	 -2.466974 	 1.016349 
1.890000 	 -2.494783 	 1.009856 
1.900000 	 -2.523635 	 1.003885 
1.910000 	 -2.553355 	 0.998425 
1.920000 	 -2.583731 	 0.993467 
1.930000 	 -2.614521 	 0.989001 
1.940000 	 -2.645464 	 0.985018 
1.950000 	 -2.676288 	 0.981508 
1.960000 	 -2.706725 	 0.978462 
1.970000 	 -2.736518 	 0.975867 
1.980000 	 -2.765439 	 0.973712 
1.990000 	 -2.793288 	 0.971985 
2.000000 	 -2.819905 	 0.970673 
2.010000 	 -2.845170 	 0.969763 
2.020000 	 -2.868999 	 0.969242 
2.030000 	 -2.891346 	 0.969100 
2.040000 	 -2.912196 	 0.969325 
2.050000 	 -2.931561 	 0.969907 
2.060000 	 -2.949477 	 0.970840 
2.070000 	 -2.965993 	 0.972118 
