#tf = 2094.395102 	 step = 0.001000 
#i 	 A 	 w 	 kx 	 ky 	 phasey
1 	 1.000000 	 3.000000 	 3.000000 	 3.000000 	 0.000000 
1 	 0.000000 	 6.000000 	 3.000000 	 3.000000 	 1.570750 
