# dados normalizados utilizados na simulação usando 2ondas 
# dt = 0.0001	 strobe = 1	 tfinal = 10000 
#i	A	w	Kx	Ky	kycent	v	 v_rel	phasex 	phasey
0	1	3	3	3	3	1	0	0	0
1	0.1	6	3	3	3	2	1	0	0
